,kamar_mandi,kamar,lb,lt,tipe_property,price,sertifikat,deskripsi,lokasi,ada_garasi,pool,taman,electricity,floors_total,gym
240,6.0,7.0,486.0,400.0,Rumah,7250000000.0,1,"jual cepat! rumah 1,5 lt besar luas tanah tinggi jakarta pusat

luas dan besar berlokasi di pusat kota jakarta dengan harga yang terjangkau. investasi menarik ditengah kota jakarta

lokasi strategis di jakarta pusat
dekat atrium senen, gi, sudirman.
dekat mall atrium senen
dekat stasiun senen,gambir & sentiong
dekat halte central busway senen
dekat fasilitas ibadah
dekat rs gatot subroto
dekat dengan ui salemba
dekat pasar tradisional
akses toll cempaka putih & kemayoran

fasilitas :
lapangan
garasi 2 mobil
water heater
listrik 3500 watts

shm & imb lengkap
harga : rp. 7.250.000.000,-

peminat serius hub :
(david)
(adelia)",Johar Baru,1,0,0,,2.0,0
244,6.0,10.0,375.0,608.0,Rumah,15000000000.0,1,"dijual rumah 3 lantai di percetakan negara johar baru jakarta pusat
lt. 608 m²
lb. 375 m²
kt. 5 + 3
km. 5
ktp. 2
gudang : 1
garasi : 2 mobil
carport : -/+ 6 mobil
listrik : 7.700 va
air : pam + air tanah
row jalan : 2 mobil
hadap : utara
shm
ruang tamu
dapur kotor & bersih",Johar Baru,1,0,0,,2.0,0
245,2.0,4.0,61.0,32.0,Rumah,1057000000.0,0,"rumah indent di jantung kota dengan suasana yang sangat nyaman dan menarik dengan kualitas bangunan terbaik one gate system
  cluster danar resident adalah perumahan cantik dengan bangunan 2 lantai
spesifikasi :",Johar Baru,1,0,0,,2.0,0
246,3.0,6.0,140.0,64.0,Rumah,18000000000.0,0,"rumah strategis, 2,5lt  ljakarta pusat, bebas banjir, bisa untuk usaha",Johar Baru,1,0,0,,2.0,0
247,3.0,4.0,42.0,21.0,Rumah,685000000.0,0,"kabar gembira
dijual rumah cluster 2 lantai dijalan johar jakarta pusat
rumah indent dalam tahap pembangunan
jangan lewatkan kesempatan baik ini
launching perumahan cluster mandala",Johar Baru,1,0,0,,2.0,0
248,3.0,4.0,100.0,50.0,Rumah,1250000000.0,1,"penawaran spesial rumah baru paling murah di kelasnya lokasi johar baru dekat rutan salemba. 
spesifikasi:
rumah inden 4 bulan
lt 50m2
( 4,5 x 11an meter) 
lb 100m2
2 lantai
shm + imb lengkap
2km 2kt
bisa request desain dan km kt
1 garasi
jalan 2 mobil",Johar Baru,1,0,0,,2.0,0
249,5.0,7.0,200.0,300.0,lainnya,4350000000.0,1,"dijual cepat harus laku bulan ini, dengan harga covid,
list spesifikasi
lokasi : percetakan negara 2a
lantai : 2
luas tanah : 200
luas bangunan : -+300
status imb : ada
status surat : shm
zonasi hijau
r. tamu : 1 di lt. 1
r. keluarga : 1 di lt. 1
r.keluarga : 1 di lt. 2
r. makan : 1 di lt. 1
r. gudang : 1 di lt. 1
r. cuci jemur : 1 di lt. 2
teras belakang : 1 di lt. 1
teras depan : 1 di lt. 1
balkon depan : 1
balkon belakang :1
taman : 2 depan blakang di lt 1
garasi : 1
km. tidur utama + km. mandi 1 di lt 1
km. tidur 3 buah + km. mandi di lt. 2
km. tidur pembantu : 1 di lt. 2
listrik watt : 4400pw
air : jet pam
hadap : selatan
th bangunan : 2018
harga : 4,35 m
more info :
aby",Johar Baru,1,0,1,,2.0,0
250,2.0,4.0,35.0,18.0,lainnya,485000000.0,0,"melia onasis townhouse / jakarta pusat
cluster rasela vii @johar baru
kini baru mulai pembangunan dan siap di pasarkan sesuai dengan lay out atau tata ruang
lokasi strategis
jl. kp rawa selatan vii no2 rt 16/04 johar baru - jakarta pusat",Johar Baru,1,0,0,,2.0,0
252,5.0,8.0,300.0,148.0,Rumah,2900000000.0,0,"bismillahirohmanirohim
saya jual rumah untuk melunasi hutang2 ayah saya
6 kamar tidur
4 kamar mandi
3 lantai",Johar Baru,1,0,0,,2.0,0
253,2.0,4.0,40.0,20.0,Rumah,475000000.0,0,"dijual rumah 2 lantai di cluster daun kepu 7 kemayoran dengan spech sebagai berikut :
kamar tidur 2
kamar mandi 1
ruang tamu
dapur",Johar Baru,1,0,0,,2.0,0
255,2.0,4.0,36.0,18.0,lainnya,425000000.0,0,"cluster mandala - johar baru, jakarta pusat
bangunan baru dengan lokasi yg strategis daerah johar baru jakarta pusat. sangat cocok untuk pasangan muda, anak kuliah, lokasi strategis , lingkungan yg nyamanu dan asri.
cocok juga untuk investasi karena ukuran seperti apartmen namun mendapat kan privasi yg lebih dari apartmen.
luas tanah. : 18 m2",Johar Baru,1,0,0,,2.0,0
