,index,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,harga,kecamatan,garasi,kolam_renang,taman,gym,jumlah_lantai,listrik
5780,9257,3,8,200.0,159.0,1250000000.0,Cempaka Putih,True,False,False,False,2,11000.0
5781,9259,5,7,300.0,216.0,7500000000.0,Cempaka Putih,True,False,False,False,2,11000.0
5782,9260,3,6,300.0,420.0,29000000000.0,Menteng,True,False,True,False,1,11000.0
5783,9262,8,22,290.0,95.0,5500000000.0,Tanah Abang,True,False,False,False,3,11000.0
5784,9265,3,5,150.0,76.0,1500000000.0,Cempaka Putih,True,False,False,False,3,11000.0
5785,9266,2,4,41.0,41.0,550000000.0,Johar Baru,True,False,False,False,3,11000.0
5786,9272,4,7,220.0,88.0,1950000000.0,Sawah Besar,True,False,False,False,2,11000.0
5787,9273,4,6,194.0,144.0,5500000000.0,Tanah Abang,True,True,False,False,2,11000.0
5788,9274,7,7,500.0,256.0,15000000000.0,Tanah Abang,True,False,False,False,2,11000.0
5789,9275,5,5,550.0,326.0,27000000000.0,Menteng,True,True,False,False,2,11000.0
5790,9277,6,6,300.0,200.0,4450000000.0,Johar Baru,True,False,True,False,2,11000.0
5791,9280,3,3,68.0,40.0,650000000.0,Cempaka Putih,True,False,False,False,2,2200.0
5792,9281,2,2,60.0,78.0,1200000000.0,Johar Baru,True,False,False,False,2,2200.0
5793,9297,4,7,535.0,325.0,27000000000.0,Menteng,True,False,False,False,2,2200.0
5794,9303,4,5,123.0,78.0,1650000000.0,Kemayoran,True,False,False,False,2,2200.0
5795,9304,3,4,137.0,157.0,3500000000.0,Tanah Abang,True,False,False,False,2,2200.0
5796,9305,4,5,360.0,360.0,11000000000.0,Menteng,True,False,False,False,2,2200.0
5797,9306,6,9,300.0,249.0,4500000000.0,Senen,True,False,False,False,2,2200.0
5798,9310,4,4,112.0,98.0,5300000000.0,Tanah Abang,True,False,False,False,4,2200.0
5799,9311,5,5,1200.0,720.0,72000000000.0,Menteng,True,False,False,False,4,2200.0
5800,9312,4,4,300.0,120.0,6500000000.0,Kemayoran,True,False,False,False,4,2200.0
5801,9314,9,13,1100.0,537.0,25000000000.0,Menteng,True,False,False,False,2,2200.0
